latitude,longitude,location,area
3.25,117.75,"3.3000169,117.6330159","Tarakan, North Kalimantan"
0.0,117.5,"0.1236548,117.471708","Bontang, East Kalimantan"
1.0,124.75,"0.98826725,124.7306505503255","Minahasa Tenggara, North Sulawesi"
3.5,125.5,"3.5527078999999997,125.54656453706112","Kepulauan Sangihe, North Sulawesi"
4.25,126.75,"4.2694929,126.81354994457188","Talaud Islands, North Sulawesi"
1.5,125.0,"1.5183648,125.0004264462124","Minahasa Utara, North Sulawesi"
0.75,123.5,"0.7599112,123.48493750899732","Bolaang Mongondow Utara, North Sulawesi"
0.75,124.0,"0.6555692,124.090151","North Sulawesi, North Sulawesi"
1.5,124.75,"1.4900578,124.8408708","Manado, North Sulawesi"
1.5,125.25,"1.44344,125.1940836","Bitung, North Sulawesi"
1.25,124.75,"1.3255914,124.838605","Tomohon, North Sulawesi"
0.75,124.25,"0.7352231,124.3154057","Kotamobagu, North Sulawesi"
-1.75,123.0,"-1.8427943,123.10260764338364","Banggai Laut Regency, Central Sulawesi"
-2.25,121.75,"-2.35515285,121.65622391958854","Bungku Barat, Central Sulawesi"
-1.75,120.5,"-1.6568513,120.5421575","Poso Regency, Central Sulawesi"
-1.0,119.75,"-1.04782015,119.67584652002928","Donggala Regency, Central Sulawesi"
1.0,120.75,"0.88087905,120.69572672726544","Kecamatan Ogo Deide, Central Sulawesi"
1.0,121.25,"1.0123735,121.3120524","Buol, Central Sulawesi"
-0.25,120.0,"-0.23836055,119.95993110540972","Parigi Moutong Regency, Central Sulawesi"
-1.25,121.5,"-1.21313785,121.61960745763056","Tojo Una-Una Regency, Central Sulawesi"
-1.0,119.75,"-0.896493,119.85558786680411","Kecamatan Ulujadi, Central Sulawesi"
-4.75,119.5,"-4.75444955,119.58931052015694","Pangkajene dan Kepulauan, South Sulawesi"
-4.5,119.75,"-4.4337339,119.6778273395556","Barru, South Sulawesi"
-3.75,119.75,"-3.7932568,119.6528692","Pinrang, South Sulawesi"
-3.5,119.75,"-3.5657184,119.7724109","Enrekang, South Sulawesi"
-3.0,119.75,"-3.1169403,119.6937644","Tana Toraja Regency, South Sulawesi"
-5.25,119.5,"-5.1342962,119.4124282","Makassar, South Sulawesi"
-4.0,119.5,"-4.0057055,119.6236101","Pare-Pare, South Sulawesi"
-3.0,120.25,"-2.9996306,120.1920679","Palopo, South Sulawesi"
-5.25,123.0,"-5.35434535,122.95065902964969","Buton, Southeast Sulawesi"
-4.75,122.5,"-4.80367125,122.45145451148004","Muna Barat, Southeast Sulawesi"
-3.5,121.75,"-3.5116689,121.6523286664166","Konawe, Southeast Sulawesi"
